2021-06-11 09:59:14.142 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:00:25.929 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:05:57.874 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:16:56.173 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:18:19.925 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:20:11.067 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:34:42.972 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:36:33.363 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:39:08.793 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:41:03.673 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:45:34.722 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 10:52:11.923 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2021-06-11 11:47:01.961 | DEBUG | main | com.CloudBranchApplicationTests-line:56 | Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
